"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bermuda","BMU","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.563","","","","","","","","","10.733","","","","","","","","","21.066","16.316","","35.69","","29","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","14.36","20.712","","","","","","","","6.064","8.636","3.51","","","8.544","","","","","","","","5.698","5.303","","5.262","3.402","5.586","4.757","6.975","6.814","6.698","6.884","7.067","16.07","8.117","6.009","4.937","4.271","",
"Brazil","BRA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","6.34","4.527","6.653","7.168","7.769","8.55","","13.201","11.534","","13.334","14.628","16.67","19.259","20.639","","20.002","20.602","21.352","20.02","21.346","19.916","18.899","17.671","19.881","","16.986","15.744","15.588","15.405","19.369","26.429","28.446","27.836","27.007","30.211","28.299","20.743","17.958","15.704","13.594",
"Barbados","BRB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","30.556","","","35.439","36.486","32.542","25.532","30.671","33.465","42.188","41.28","41.763","37.77","27.881","30.04","24.57","22.27","","23","22.93","26.214","","","","","","24.405","26.061","","","29.605","33.775","29.26","26.668","26.542","24.591","26.031","","28.36","21.262","18.715","","",
"Brunei Darussalam","BRN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.273","","","28.891","29.869","20.368","26.419","16.335","18.344","17.808","19.371","",
"Bhutan","BTN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.95","9.206","9.351","7.277","9.549","9.39","10.733","","","15.732","11.85","22.58","20.932","28.625","14.98","18.216","",
"Botswana","BWA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","37.77","","","","","","25.606","","","","","37.935","","","","","39.661","","","","","32.596","","","33.419","35.988","42.94","","","","","","","","35.507","41.948","44.948","44.216","45.594","45.164","",
"Central African Republic","CAF","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","12.392","13.821","14.025","12.674","12.825","12.777","18.24","19.246","17.367","15.774","14.656","13.214","11.496","10.949","12.349","15.845","17.225","17.193","15.898","14.836","15.407","16.26","15.145","14.057","12.674","12.874","13.625","13.632","13.451","12.399","11.62","11.026","11.382","15.066","14.586","13.926","14.045","13.248","13.21","12.768","12.607","11.239","10.708","10.743","20.112","13.541","10.067","10.758","13.121","13.838",
"Central Europe and the Baltics","CEB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1374935425583","18.9772792731127","23.3643296520935","25.9659337185122","29.6015563614162","31.309853450652","30.1473263841285","29.5508244289354","27.5694623287574","23.8056197801111","18.6479978186714","16.6683830604799","21.5714475957868","24.4769153742954","25.5594246913898","26.2495357849958","26.6626844535257","23.4454292302391","20.6920937635282","17.6483794840529","14.9495562490458","12.6122086121717","11.6248841645113","13.6129164098582","14.8645083783513","13.6822199050746","14.1949955605708","14.7196609704342","",
"Switzerland","CHE","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.242","3.264","3.007","5.833","5.551","4.65","4.651","5.995","5.772","5.65","4.806","5.625","5.586","8.498","7.709","8.762","7.703","7.085","7.019","8.446","8.217","7.731","8.33","8.745","8.599","8.817","8.584","8.067","7.947","8.003","8.61","8.318","6.836","7.857","8.231","",
"Channel Islands","CHI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","24.747","25.215","","17.3","","14.327","13.223","13.063","12.702","10.904","10.953","13.183","11.499","12.397","","21.275","","22.032","","","21.208","","","17.853","","","25.167","18.976","17.907","16.828","16.582","16.897","15.758","15.768","17.852","18.207","19.129","24.853","20.83","18.404","22.083","21.054","21.985",
"China","CHN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.083","","","","","","","","","","","","","","","","","","10.81","11.83","14.19","14.25","","","","",
"Cote d'Ivoire","CIV","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.801","","","","","","","","","","","","","","9.747","6.497","","","2.048","5.52","","4.066","","","4.386","","","",
"Cameroon","CMR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.716","","4.593","","","6.38","","","","6.286","","","","","","","6.428","","","","",
